City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Iranshahr,IR,2021-07-25 16:48:01,27.2025,60.6848,106.14,18,0,9.22
116,Iqaluit,CA,2021-07-25 16:43:08,63.7506,-68.5145,44.33,93,75,5.01
117,Tuktoyaktuk,CA,2021-07-25 16:48:02,69.4541,-133.0374,51.8,100,90,21.85
118,Hong Gai,VN,2021-07-25 16:48:02,20.956,107.0946,82.31,88,56,1.79
119,Faanui,PF,2021-07-25 16:48:02,-16.4833,-151.75,77.76,66,3,13.47
120,Huarmey,PE,2021-07-25 16:48:03,-10.0681,-78.1522,67.59,75,19,7.99
121,Winnemucca,US,2021-07-25 16:48:03,40.973,-117.7357,80.65,17,1,8.05
122,Butaritari,KI,2021-07-25 16:48:03,3.0707,172.7902,81.72,77,12,10.54
123,Georgetown,MY,2021-07-25 16:44:12,5.4112,100.3354,85.95,77,20,2.3
124,Sitka,US,2021-07-25 16:46:01,57.0531,-135.33,55.29,82,90,0.0
125,Tambopata,PE,2021-07-25 16:48:04,-12.7333,-69.1833,85.89,62,0,3.44
126,Puerto Escondido,MX,2021-07-25 16:43:28,15.85,-97.0667,87.62,60,57,6.13
127,Karasjok,NO,2021-07-25 16:46:26,69.4719,25.5112,50.11,80,100,7.87
128,Buraydah,SA,2021-07-25 16:48:04,26.326,43.975,109.85,11,75,11.25
129,East London,ZA,2021-07-25 16:48:04,-33.0153,27.9116,61.74,67,0,6.91
130,Mount Gambier,AU,2021-07-25 16:43:33,-37.8333,140.7667,48.11,100,90,9.22
131,Belawan,ID,2021-07-25 16:48:05,3.7755,98.6832,82.69,91,84,4.88
132,Jamestown,US,2021-07-25 16:48:05,42.097,-79.2353,81.72,64,40,5.99
133,Kaitangata,NZ,2021-07-25 16:46:20,-46.2817,169.8464,46.92,65,100,4.9
134,Saint-Philippe,RE,2021-07-25 16:45:06,-21.3585,55.7679,69.39,76,37,11.48
135,Qaanaaq,GL,2021-07-25 16:48:02,77.484,-69.3632,39.7,71,87,5.55
136,Khatanga,RU,2021-07-25 16:48:05,71.9667,102.5,54.21,74,53,7.49
137,Sibolga,ID,2021-07-25 16:48:06,1.7427,98.7792,77.72,82,93,2.91
138,Bengkulu,ID,2021-07-25 16:43:31,-3.8004,102.2655,76.19,90,2,4.79
139,Ust-Omchug,RU,2021-07-25 16:48:06,61.15,149.6333,52.95,96,100,6.49
140,Bonthe,SL,2021-07-25 16:48:06,7.5264,-12.505,79.14,76,89,10.22
141,Cape Town,ZA,2021-07-25 16:43:25,-33.9258,18.4232,64.27,42,0,5.75
142,Ejea De Los Caballeros,ES,2021-07-25 16:48:07,42.1263,-1.1372,86.18,30,75,14.14
143,Japura,ID,2021-07-25 16:48:07,-0.3167,102.35,77.56,82,81,3.71
144,Timbo,BR,2021-07-25 16:48:08,-26.8233,-49.2717,81.41,30,16,0.74
145,Ormara,PK,2021-07-25 16:48:08,25.2088,64.6357,82.22,85,92,15.48
146,Chokurdakh,RU,2021-07-25 16:48:08,70.6333,147.9167,33.48,85,1,9.48
147,Grindavik,IS,2021-07-25 16:48:08,63.8424,-22.4338,53.55,93,75,32.21
148,Toamasina,MG,2021-07-25 16:48:09,-18.1667,49.3833,66.2,94,75,16.11
