City_ID,City,Country,Lat,Lng,Max Temp,% Humidity,% Cloudiness,Wind Speed,Current Description
110,Kudahuvadhoo,MV,2.6708,72.8944,81.1,76,100,10.74,overcast clouds
111,Estelle,US,29.8458,-90.1067,91.4,64,75,9.22,broken clouds
112,Souillac,MU,-20.5167,57.5167,68.36,100,75,14.97,moderate rain
113,San Cristobal,VE,7.7669,-72.225,65.73,97,29,1.34,scattered clouds
114,Tolaga Bay,NZ,-38.3667,178.3,57.67,53,2,8.25,clear sky
115,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,71,75,6.91,light rain
116,Kasongo-Lunda,CD,-6.4667,16.8167,62.44,28,10,1.57,clear sky
117,Guerrero Negro,MX,27.9769,-114.0611,74.53,68,0,18.01,clear sky
118,Mutis,CO,6.2262,-77.4044,77.52,89,100,0.51,overcast clouds
119,Whitehaven,GB,54.549,-3.5841,59.83,95,100,1.01,overcast clouds
120,Rikitea,PF,-23.1203,-134.9692,74.53,78,100,13.35,overcast clouds
121,Salalah,OM,17.0151,54.0924,78.89,89,90,6.91,overcast clouds
122,Anadyr,RU,64.75,177.4833,50.5,93,75,20.0,moderate rain
123,Acarau,BR,-2.8856,-40.12,78.17,82,63,15.05,broken clouds
124,Barrow,US,71.2906,-156.7887,42.82,87,90,17.27,mist
125,Jamestown,US,42.097,-79.2353,76.32,78,1,5.75,clear sky
126,Betanzos,ES,43.2804,-8.2147,66.67,93,75,4.61,broken clouds
127,Remedios,CU,22.4947,-79.5458,81.52,81,13,7.52,few clouds
128,Codrington,AU,-38.2667,141.9667,50.04,79,100,22.55,light rain
129,Lompoc,US,34.6391,-120.4579,88.12,80,11,13.8,few clouds
130,Villa Bruzual,VE,9.3328,-69.1208,75.15,93,100,2.35,overcast clouds
131,Basse,DE,52.5518,9.5069,65.35,86,92,6.91,overcast clouds
132,Burgeo,CA,47.6167,-57.6152,61.54,99,100,6.91,overcast clouds
133,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.43,94,100,2.75,overcast clouds
134,Kapaa,US,22.0752,-159.319,84.52,76,90,4.0,light rain
135,Nador,MA,35.174,-2.9287,73.65,83,20,1.14,few clouds
136,Oksfjord,NO,70.2396,22.3479,52.0,90,14,4.09,few clouds
137,Acapulco,MX,16.8634,-99.8901,85.82,66,75,4.61,broken clouds
138,Brigantine,US,39.4101,-74.3646,83.12,80,1,8.05,clear sky
139,Abu Kamal,SY,34.4506,40.9171,87.67,29,0,17.45,clear sky
140,Mar Del Plata,AR,-38.0023,-57.5575,46.13,67,75,13.0,broken clouds
141,Letlhakeng,BW,-24.0944,25.0298,42.51,59,0,5.84,clear sky
142,Port Alfred,ZA,-33.5906,26.891,61.77,85,21,15.79,few clouds
143,Bambous Virieux,MU,-20.3428,57.7575,68.22,100,75,14.97,moderate rain
144,Merauke,ID,-8.4667,140.3333,82.26,73,95,8.61,overcast clouds
145,Sabang,ID,5.8933,95.3214,83.07,74,87,22.03,overcast clouds
146,Bethel,US,41.3712,-73.414,79.56,77,90,1.01,overcast clouds
147,Havoysund,NO,70.9963,24.6622,45.48,90,95,5.84,overcast clouds
148,Kruisfontein,ZA,-34.0033,24.7314,52.88,82,48,15.1,scattered clouds
149,Dawei,MM,14.0833,98.2,80.65,89,99,5.93,overcast clouds
150,Dingle,PH,10.9995,122.6711,85.21,72,98,16.11,overcast clouds
151,Kimbe,PG,-5.5502,150.1429,88.38,60,37,2.82,scattered clouds
152,Mahebourg,MU,-20.4081,57.7,68.25,100,75,14.97,moderate rain
153,Kenai,US,60.5544,-151.2583,70.03,71,1,19.57,clear sky
154,Hermanus,ZA,-34.4187,19.2345,53.8,69,97,14.47,overcast clouds
155,Lata,PT,40.1629,-8.3327,61.92,98,21,1.5,few clouds
156,East London,ZA,-33.0153,27.9116,68.79,47,1,13.6,clear sky
157,At-Bashi,KG,41.1702,75.8106,66.85,60,86,0.16,overcast clouds
158,Ahipara,NZ,-35.1667,173.1667,60.22,77,49,8.01,scattered clouds
159,Aleksandrovskoye,RU,44.7142,43.0008,60.94,95,100,4.23,light rain
160,Khatanga,RU,71.9667,102.5,82.17,46,0,18.95,clear sky
161,Skibbereen,IE,51.55,-9.2667,55.2,86,48,14.52,scattered clouds
162,Marzuq,YE,14.4,46.4667,74.23,76,9,7.43,clear sky
163,Mersing,MY,2.4312,103.8405,76.91,94,40,3.44,scattered clouds
164,Verkhnyaya Inta,RU,65.9811,60.3094,41.29,94,100,8.16,overcast clouds
165,Veraval,IN,20.9,70.3667,81.59,85,100,21.56,overcast clouds
166,Jhelum,PK,32.9331,73.7264,82.44,86,100,10.18,overcast clouds
167,Kaa-Khem,RU,51.6833,94.7333,64.15,79,100,4.76,overcast clouds
168,Biankouma,CI,7.7391,-7.6138,68.14,99,100,2.62,overcast clouds
169,Tres Picos,MX,15.8667,-93.5333,80.91,84,64,1.01,broken clouds
170,Oranjemund,NA,-28.55,16.4333,53.02,84,0,4.56,clear sky
171,Matagami,CA,49.7502,-77.6328,60.91,59,90,2.3,overcast clouds
172,Dunmore Town,BS,25.5,-76.65,83.97,73,5,6.69,clear sky
173,Boa Vista,BR,2.8197,-60.6733,76.98,88,75,2.3,broken clouds
174,Priekule,LV,56.4468,21.5897,70.99,99,77,5.64,broken clouds
175,Saint-Philippe,RE,-21.3585,55.7679,67.59,89,99,13.56,light rain
176,Necochea,AR,-38.5473,-58.7368,45.03,65,100,22.82,overcast clouds
177,Karratha,AU,-20.7377,116.8463,72.64,55,7,6.53,clear sky
178,Vila,PT,42.0304,-8.1588,53.74,96,1,4.99,clear sky
179,Guantanamo,CU,20.1444,-75.2092,85.46,86,100,2.8,overcast clouds
180,Batsfjord,NO,70.6345,29.7185,48.42,90,100,6.35,overcast clouds
